id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1494801574266343424,1494801574266343424,2022-02-18 14:30:42 Pacific Standard Time,2022-02-18,14:30:42,-0800,3776409743,itsblurryy_,itsblurry,,Kim literally filmed herself talking about Kanye’s first manic episode and now people are saying he’s been to over exploitive posting their text messages.,en,[],[],[],0,0,0,[],[],https://twitter.com/ItsBlurryy_/status/1494801574266343424,False,,0,,,,,,,,[],,,,
1494801560680939527,1494801560680939527,2022-02-18 14:30:38 Pacific Standard Time,2022-02-18,14:30:38,-0800,1185148652970483713,3kashaveli,ً,,Kanye’s lost the plot omds,en,[],[],[],0,0,0,[],[],https://twitter.com/3Kashaveli/status/1494801560680939527,False,,0,,,,,,,,[],,,,
1494801553538048012,1494801553538048012,2022-02-18 14:30:37 Pacific Standard Time,2022-02-18,14:30:37,-0800,875765107,nawimjustkiddin,jackie,,the goal? drink enough tequila tonight that this kanye guy starts making sense  https://t.co/hMHEml1HIh,en,[],[],['https://pbs.twimg.com/media/FL6aFw2XIAUirtv.jpg'],0,0,0,[],[],https://twitter.com/nawimjustkiddin/status/1494801553538048012,False,,1,https://pbs.twimg.com/media/FL6aFw2XIAUirtv.jpg,,,,,,,[],,,,
1494801552044867589,1494801552044867589,2022-02-18 14:30:36 Pacific Standard Time,2022-02-18,14:30:36,-0800,1454266210305155078,teovillan,ً,,"Kanye said “Donda 2? Nah, Donda $200”",in,[],[],[],0,0,0,[],[],https://twitter.com/teovillan/status/1494801552044867589,False,,0,,,,,,,,[],,,,
1494801551486976001,1494801551486976001,2022-02-18 14:30:36 Pacific Standard Time,2022-02-18,14:30:36,-0800,14720959,yeshacallahan,Yesha,,Kanye is going to put Limewire &amp; bootlegging back on the map.,en,[],[],[],0,0,0,[],[],https://twitter.com/YeshaCallahan/status/1494801551486976001,False,,0,,,,,,,,[],,,,
1494801543949783041,1494801400068456451,2022-02-18 14:30:34 Pacific Standard Time,2022-02-18,14:30:34,-0800,1447168526469369859,fastimesab,💅🏼,,@iHeartRadio @KimKardashian Kanye better,da,[],[],[],0,0,0,[],[],https://twitter.com/fastimesab/status/1494801543949783041,False,,0,,,,,,,,"[{'screen_name': 'iHeartRadio', 'name': 'iHeartRadio', 'id': '46116615'}, {'screen_name': 'KimKardashian', 'name': 'Kim Kardashian West', 'id': '25365536'}]",,,,
1494801539512209411,1494801539512209411,2022-02-18 14:30:33 Pacific Standard Time,2022-02-18,14:30:33,-0800,106931604,fstarrpromotion,FutureStarr Promotion,,"Kanye West Objects to Kim Kardashian's Divorce Request to Restore Single Status: Here's Why: The rapper also laid out several conditions, all of which the rapper's lawyer claims has been rejected by Kardashian's side.    [[ This is a content summary…  https://t.co/Ys4h4oQSkA  https://t.co/4Cps03lcWC",en,[],['http://dlvr.it/SKFFd8'],['https://pbs.twimg.com/media/FL6aFBbVQAAPgUf.jpg'],0,0,0,[],[],https://twitter.com/FSTARRPromotion/status/1494801539512209411,False,,1,https://pbs.twimg.com/media/FL6aFBbVQAAPgUf.jpg,,,,,,,[],,,,
1494801537524142080,1494801537524142080,2022-02-18 14:30:33 Pacific Standard Time,2022-02-18,14:30:33,-0800,1281809983504437254,valormg,Harden’s Honey Buns,,Bro is mad I told the truth about Kanye. Truth is Eminem will always be miles ahead of Kanye.  https://t.co/pV9mIbyB08,en,[],[],['https://pbs.twimg.com/media/FL6aE1gVQAIXJdq.jpg'],0,0,0,[],[],https://twitter.com/ValorMg/status/1494801537524142080,False,,1,https://pbs.twimg.com/media/FL6aE1gVQAIXJdq.jpg,,,,,,,[],,,,
1494801526912659457,1494801526912659457,2022-02-18 14:30:30 Pacific Standard Time,2022-02-18,14:30:30,-0800,1226941172163260418,erin74313360,moff,,@kanyewest please just put donda 2 on spotify man i’m broke,en,[],[],[],0,0,0,[],[],https://twitter.com/erin74313360/status/1494801526912659457,False,,0,,,,,,,,[],,,,
1494801524630831104,1494801524630831104,2022-02-18 14:30:30 Pacific Standard Time,2022-02-18,14:30:30,-0800,73006609,dazed_jedii,amber,,does kanye not know how to post on his story?,en,[],[],[],0,0,0,[],[],https://twitter.com/Dazed_Jedii/status/1494801524630831104,False,,0,,,,,,,,[],,,,
1494801523209281537,1494801523209281537,2022-02-18 14:30:29 Pacific Standard Time,2022-02-18,14:30:29,-0800,821080498621612033,edward__bernays,Rap Game Edward Bernays,,Holy fuck the Kanye documentary is so good 🥺 I will never apologize for being a Kanye apologist 😇🙏🏻  https://t.co/MycgJnD2ui,en,[],[],['https://pbs.twimg.com/media/FL6aD35WUAQqII7.jpg'],0,0,2,[],[],https://twitter.com/Edward__Bernays/status/1494801523209281537,False,,1,https://pbs.twimg.com/media/FL6aD35WUAQqII7.jpg,,,,,,,[],,,,
1494801521443282949,1494801521443282949,2022-02-18 14:30:29 Pacific Standard Time,2022-02-18,14:30:29,-0800,1435832582780895232,shetoojassy,Real One 💅🏾,,People defending Kanye 🚩,en,[],[],[],0,0,0,[],[],https://twitter.com/shetoojassy/status/1494801521443282949,False,,0,,,,,,,,[],,,,
1494801508621246468,1494801508621246468,2022-02-18 14:30:26 Pacific Standard Time,2022-02-18,14:30:26,-0800,874950922706792448,dnaradionet,DNAradio.net,,"#NowPlaying - Now Playing on "" https://t.co/uT9xEKeXyU"" - Glasses Malone feat. Suga Free - Kanye Should've Never Married (That Bitch) (Intro Clean) #Follow us on #TuneIn #Listen #HipHop #InternetRadio",en,[],['http://DNAradio.net'],[],0,0,0,"['nowplaying', 'follow', 'tunein', 'listen', 'hiphop', 'internetradio']",[],https://twitter.com/DNAradionet/status/1494801508621246468,False,,0,,,,,,,,[],,,,
1494801507677573127,1494801507677573127,2022-02-18 14:30:26 Pacific Standard Time,2022-02-18,14:30:26,-0800,615185696,eradious,E-Radio.US,,#e_RadioUS Kanye West Is Changing The Way We Hear His Music  https://t.co/h3qXcpB5Ee,en,[],['https://e-radio.us/kanye-west-is-changing-the-way-we-hear-his-music/'],[],0,0,0,['e_radious'],[],https://twitter.com/eRadioUS/status/1494801507677573127,False,,0,,,,,,,,[],,,,
1494801505882447872,1494801505882447872,2022-02-18 14:30:25 Pacific Standard Time,2022-02-18,14:30:25,-0800,710222800942985217,stargisrl,ً,,KANYE WEST KKKKKKKKKKKKKKKKKKKKKKKKKKKK,in,[],[],[],0,0,0,[],[],https://twitter.com/stargisrl/status/1494801505882447872,False,,0,,,,,,,,[],,,,
1494801501549924352,1494801501549924352,2022-02-18 14:30:24 Pacific Standard Time,2022-02-18,14:30:24,-0800,4071099855,deci_wolfgang,Wolfgang A. Mozart ,,City of Gods. Fivio Alicia Keys❤️❤️ KANYE WEST 🔥🔥🔥,en,[],[],[],0,0,0,[],[],https://twitter.com/Deci_Wolfgang/status/1494801501549924352,False,,0,,,,,,,,[],,,,
1494801501251936256,1494801501251936256,2022-02-18 14:30:24 Pacific Standard Time,2022-02-18,14:30:24,-0800,1150138785130274816,whiteflagzz,KenOsama ☠️,,nah yeat looking like new age kanye rn 😭,en,[],[],[],0,0,1,[],[],https://twitter.com/whiteflagzz/status/1494801501251936256,False,,0,,,,,,,,[],,,,
1494801497460285442,1494801497460285442,2022-02-18 14:30:23 Pacific Standard Time,2022-02-18,14:30:23,-0800,347416852,playgirlfenty,t,,why would kanye post that corey shit on his page sksksksksk 😭,en,[],[],[],1,0,0,[],[],https://twitter.com/playgirlfenty/status/1494801497460285442,False,,0,,,,,,,,[],,,,
1494801494448738305,1494801494448738305,2022-02-18 14:30:23 Pacific Standard Time,2022-02-18,14:30:23,-0800,340603246,tylowks,Low,,So this documentary is why Kanye has been wildin on the internet,en,[],[],[],0,0,0,[],[],https://twitter.com/TyLowks/status/1494801494448738305,False,,0,,,,,,,,[],,,,
1494801491235848204,1494801491235848204,2022-02-18 14:30:22 Pacific Standard Time,2022-02-18,14:30:22,-0800,335972659,kanuxvi,X A V I E R,,Now I see why Kanye don't joke with his mother - Donda.,en,[],[],[],0,0,0,[],[],https://twitter.com/KanuXVI/status/1494801491235848204,False,,0,,,,,,,,[],,,,
1494801489356722178,1494801489356722178,2022-02-18 14:30:21 Pacific Standard Time,2022-02-18,14:30:21,-0800,95756637,rafaeliglesia,Rafael Iglesia,,Kanye West no se baja del auto para cargar nafta.,es,[],[],[],0,0,0,[],[],https://twitter.com/rafaeliglesia/status/1494801489356722178,False,,0,,,,,,,,[],,,,
1494801488836804609,1494801488836804609,2022-02-18 14:30:21 Pacific Standard Time,2022-02-18,14:30:21,-0800,194684558,maxayshewrote,‏ً,,Nah Kanye is unhinged 😂😂😂😂  https://t.co/POzTdtJn9s,in,[],[],['https://pbs.twimg.com/media/FL6aB9IXsAIKd3b.jpg'],0,0,0,[],[],https://twitter.com/maxayshewrote/status/1494801488836804609,False,,1,https://pbs.twimg.com/media/FL6aB9IXsAIKd3b.jpg,,,,,,,[],,,,
1494801485334519808,1494801485334519808,2022-02-18 14:30:20 Pacific Standard Time,2022-02-18,14:30:20,-0800,1297206052597968896,michael_blunn,Michael Blunn,,"My phone is so dry these days, I turn on Kanye Instagram notifications just to get a bump from mi phone 😂",en,[],[],[],0,0,0,[],[],https://twitter.com/michael_blunn/status/1494801485334519808,False,,0,,,,,,,,[],,,,
1494801484705316864,1494801484705316864,2022-02-18 14:30:20 Pacific Standard Time,2022-02-18,14:30:20,-0800,85885502,nldradio,NLD RADIO,,Now Playing  Off The Grid (PO Clean Edit) by Kanye West TuneIn Now  https://t.co/bTP6xNb4e5,en,[],['http://goo.gl/xc3y7m'],[],0,0,0,[],[],https://twitter.com/nldradio/status/1494801484705316864,False,,0,,,,,,,,[],,,,
1494801484621357057,1494801484621357057,2022-02-18 14:30:20 Pacific Standard Time,2022-02-18,14:30:20,-0800,188821336,dannywalto,Gummi worms in my garden,,"K, like this Kim &amp; Kanye drama is wayyyyy better than the trucker protest and war with Russia and the Olympics combined",en,[],[],[],0,0,0,[],[],https://twitter.com/DannyWalto/status/1494801484621357057,False,,0,,,,,,,,[],,,,
1494801484420194304,1494508481252143105,2022-02-18 14:30:20 Pacific Standard Time,2022-02-18,14:30:20,-0800,1060928789419646976,camlt_04,Truth_Teller,,@smileystylist Ah I see. Yes she doesn’t NEED Kanye that’s true,en,[],[],[],0,0,0,[],[],https://twitter.com/camlt_04/status/1494801484420194304,False,,0,,,,,,,,"[{'screen_name': 'smileystylist', 'name': 'Eboné Smiley⁷ (she/her)', 'id': '13377852'}]",,,,
